Timestamp,Invoice ID,Account Number,Amount,Type,Description,Anomaly Type
2024-03-23 00:00:00,INV-0083,2554715787,$3273.18,Credit,Client B,
2024-03-24 00:00:00,INV-0084,6890242536,$2198.49,Credit,Client B,
2024-03-25 00:00:00,INV-0085,1999584560,$9311.31,Credit,Client B,
2024-03-26 00:00:00,INV-0086,1555064828,$4005.36,Debit,Supplier X,
2024-03-27 00:00:00,INV-0087,8277380312,$218.5,Debit,Supplier X,
2024-03-28 00:00:00,INV-0088,6254164685,$9409.71,Debit,Supplier X,
2024-03-29 00:00:00,INV-0089,1561663888,$1505.62,Debit,Supplier Z,
2024-03-30 00:00:00,INV-0090,1479970765,$9326.77,Debit,Supplier Y,
2024-03-31 00:00:00,INV-0091,4089062275,$72766.26,Credit,Client A,Large Transaction
2024-04-01 00:00:00,INV-0092,6003212339,$3271.46,Debit,Supplier Y,
2024-04-02 00:00:00,INV-0093,3552789796,$2419.33,Debit,Supplier Z,
2024-04-03 00:00:00,INV-0094,9093227775,$514.41,Debit,Supplier X,
2024-04-04 00:00:00,INV-0095,5067645541,$3580.92,Credit,Client B,
2024-04-05 00:00:00,INV-0096,2266937714,$6191.59,Debit,Supplier Z,
2024-04-06 00:00:00,INV-0097,3686173460,$8333.55,Debit,Supplier Z,
2024-04-07 00:00:00,INV-0098,7090169712,$370.91,Debit,Supplier X,
2024-04-08 00:00:00,INV-0099,2700716283,$8589.15,Credit,Client B,
2024-04-09 00:00:00,INV-0100,8521692890,$3110.89,Debit,Supplier X,
2024-04-10 00:00:00,INV-0101,8175602003,$2918.96,Credit,Client C,
2024-04-11 00:00:00,INV-0102,5190346419,$3814.26,Debit,Supplier Z,
2024-04-12 00:00:00,INV-0103,4260916267,$5015.47,Debit,Supplier Y,
2024-04-13 00:00:00,INV-0104,7427078690,$2759.49,Debit,Supplier Y,
2024-04-14 00:00:00,INV-0105,8766274527,$9128.68,Credit,Client C,
2024-04-15 00:00:00,INV-0106,9299150721,$3412.31,Credit,Client C,
2024-04-16 00:00:00,INV-0107,9530651042,$4438.01,Debit,Supplier X,
2024-04-17 00:00:00,INV-0108,9459043222,$2208.26,Debit,Supplier Z,
2024-04-18 00:00:00,INV-0109,9230515163,$249.67,Credit,Client C,
2024-04-19 00:00:00,INV-0110,4785411526,$333.01,Credit,Client A,
2024-04-20 00:00:00,INV-0111,4818834778,$8404.23,Debit,Supplier Y,
2024-04-21 00:00:00,INV-0112,8736445456,$1174.47,Debit,Supplier Z,
2024-04-22 00:00:00,INV-0113,9731556408,$8719.82,Debit,Supplier Z,
2024-04-23 00:00:00,INV-0114,7528143365,$1449.03,Debit,Supplier Z,
2024-04-24 00:00:00,INV-0115,6526503591,$7487.9,Debit,Supplier Z,
2024-04-25 00:00:00,INV-0116,8094725643,$7579.75,Debit,Supplier X,
2024-04-26 00:00:00,INV-0117,2402591827,$2052.55,Credit,Client C,
2024-04-27 00:00:00,INV-0118,1420706158,$5620.03,Debit,Supplier Z,
2024-04-28 00:00:00,INV-0119,5367851144,$6122.22,Debit,Supplier Y,
2024-04-29 00:00:00,INV-0120,1820475734,$5802.4,Credit,Client C,
2024-04-30 00:00:00,INV-0121,4123291980,$69558.56,Credit,Client C,Large Transaction
2024-05-01 00:00:00,INV-0122,2711195261,$9816.29,Debit,Supplier X,
2024-05-02 00:00:00,INV-0123,7545409339,$4028.94,Debit,Supplier X,
2024-05-03 00:00:00,INV-0124,9224810267,$4075.22,Credit,Client B,
2024-05-04 00:00:00,INV-0125,1400052867,$9611.97,Credit,Client A,
2024-05-05 00:00:00,INV-0126,3272142262,$4780.98,Credit,Client B,
2024-05-06 00:00:00,INV-0127,5390070216,$5395.4,Debit,Supplier Z,
2024-05-07 00:00:00,INV-0128,8319935565,$8960.08,Debit,Supplier Y,
2024-05-08 00:00:00,INV-0129,6592974068,$5408.22,Debit,Supplier X,
2024-05-09 00:00:00,INV-0130,5367775331,$3391.53,Debit,Supplier Z,
2024-05-10 00:00:00,INV-0131,4760411853,$6130.08,Credit,Client C,
2024-05-11 00:00:00,INV-0132,9732132254,$7228.65,Credit,Client B,
2024-05-12 00:00:00,INV-0133,3062434581,$859.18,Credit,Client C,
2024-05-13 00:00:00,INV-0134,3965227321,$986.68,Debit,Supplier Z,
2024-05-14 00:00:00,INV-0135,2010490123,$1837.14,Credit,Client A,
2024-05-15 00:00:00,INV-0136,3717268890,$4985.98,Credit,Client C,
2024-05-16 00:00:00,INV-0137,2690477966,$9646.77,Credit,Client C,
2024-05-17 00:00:00,INV-0138,3239364129,$6038.31,Debit,Supplier Y,
2024-05-18 00:00:00,INV-0139,8868157285,$4885.75,Debit,Supplier Z,
2024-05-19 00:00:00,INV-0140,8316635612,$293.97,Credit,Client B,
2024-05-20 00:00:00,INV-0141,5479645646,$395.1,Debit,Supplier Y,
2024-05-21 00:00:00,INV-0142,8317442177,$8618.13,Debit,Supplier Y,
2024-05-22 00:00:00,INV-0143,6884861093,$2337.85,Debit,Supplier X,
2024-05-23 00:00:00,INV-0144,2672027120,$4482.76,Debit,Supplier Z,
2024-05-24 00:00:00,INV-0145,2239340532,$1809.85,Credit,Client B,
2024-05-25 00:00:00,INV-0146,4871385575,$1090.0,Debit,Supplier Y,
2024-05-26 00:00:00,INV-0147,3567194140,$9579.16,Debit,Supplier X,
2024-05-27 00:00:00,INV-0148,9595360505,$1218.69,Credit,Client A,
2024-05-28 00:00:00,INV-0149,1337790018,$4692.67,Debit,Supplier X,
2024-05-29 00:00:00,INV-0150,6729159683,$8698.96,Debit,Supplier Z,
